component,explained_variance_ratio,cumulative_variance
1,0.4720879228367596,0.4720879228367596
2,0.1882123256312803,0.6603002484680399
3,0.1144459128942198,0.7747461613622598
4,0.0958205453989073,0.8705667067611672
5,0.0784394847590822,0.9490061915202496
6,0.041883932940668,0.9908901244609176
7,0.0091098755390826,1.0000000000000002
