component,explained_variance_ratio,cumulative_variance
1,0.4720879228367597,0.4720879228367597
2,0.18821232563128054,0.6603002484680403
3,0.11444591289421982,0.77474616136226
4,0.09582054539890719,0.8705667067611672
5,0.07843948475908218,0.9490061915202493
6,0.04188393294066799,0.9908901244609173
7,0.009109875539082652,0.9999999999999999
