variant,event_date,event_name,compound,tyre_life,observed,predicted
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,11,0.7726923076923067,1.8911650324725842
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,12,0.8344666666666655,1.844771552916389
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,13,1.8256875,1.7799496489205138
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,14,0.7449230769230767,1.8701871807443533
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,15,0.8924666666666695,1.887191972158829
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,16,0.6106000000000004,1.887191972158829
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,17,0.5144999999999981,1.8792968904306797
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,18,0.4989999999999993,1.8792968904306797
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,19,0.46011111111110853,1.8165314886040111
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,20,0.734499999999997,1.8319867228356557
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,21,0.6317500000000038,1.7491185260770221
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,22,0.5066666666666654,1.8319867228356557
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,23,-0.8185000000000002,1.5005139358011217
hgb_raw,2025-03-16,Australian Grand Prix,MEDIUM,24,-0.3349999999999937,1.5005139358011217
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,2,5.18825,1.5964842527906629
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,3,-4.715333333333329,1.5181284444325496
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,4,-5.420000000000002,1.5964842527906629
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,5,-4.328499999999998,1.6176479363560774
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,6,4.046666666666667,1.5821684444325494
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,7,-4.808,1.7756827127906614
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,8,-4.070999999999998,1.611249770253492
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,9,0.2939999999999969,1.9214284931306609
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,10,6.450000000000003,1.9394185810980615
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,11,0.2030000000000029,1.9977231163529225
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,12,0.5210000000000008,1.9977231163529225
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,13,0.8580000000000041,1.9977231163529225
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,14,1.2819999999999965,1.9977231163529225
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,15,1.2590000000000003,1.9977231163529225
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,16,1.6089999999999949,1.9977231163529225
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,17,2.070999999999998,1.9977231163529225
hgb_raw,2025-03-16,Australian Grand Prix,SOFT,18,2.6850000000000023,1.9977231163529225
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,2,-0.6571428571428577,2.2399381271923953
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,3,-0.25047619047619074,2.2009773799860564
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,4,-0.0022083333333338304,2.2194503284637004
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,5,0.16652173913043472,2.181899809725281
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,6,-0.019571428571429312,2.1367329488909563
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,7,0.020958333333332763,2.1368688228054338
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,8,0.035958333333333925,2.1356071444311624
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,9,-0.2661250000000006,2.1255013167728816
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,10,-0.23095833333333537,2.114255324059903
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,11,-0.2472173913043469,2.121984900127834
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,12,-0.1749130434782607,2.122565879001379
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,13,-0.2272608695652163,2.1169237391190574
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,14,-0.2649130434782598,2.0829700861023652
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,15,-0.29904347826086836,2.0963493752233253
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,16,-0.2437826086956509,2.07538861547772
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,17,-0.27439130434782455,2.0545439551452147
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,18,-0.3100909090909092,2.0497006919272964
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,19,-0.34400000000000247,2.0187116032440118
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,20,-0.2682380952380957,2.0018235845518753
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,21,-0.3385999999999981,1.9731207101009052
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,22,-0.5325499999999999,1.9429136202762654
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,23,-0.3649000000000008,1.880163392046835
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,24,-0.319058823529413,1.8762033288851858
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,25,-0.5423124999999986,1.8154576692058448
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,26,-0.6346000000000004,1.7457946284945922
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,27,-0.822499999999999,1.7678224933866784
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,28,-0.7903571428571426,1.7591701252554857
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,29,-0.675857142857142,1.7366923108730816
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,30,-0.8658461538461538,1.7227746652880354
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,31,-1.0536923076923073,1.7227746652880354
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,32,-1.129307692307691,1.7243202465826277
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,33,-0.9395384615384614,1.718513126826497
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,34,-1.200615384615387,1.7000075114418816
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,35,-1.139538461538462,1.7000075114418816
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,36,-1.538272727272728,1.6584519713883452
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,37,-1.577300000000001,1.6471759516453814
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,38,-1.4103000000000008,1.6471759516453814
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,39,-1.3284000000000007,1.6471759516453814
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,40,-1.3476666666666657,1.633394149737315
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,41,-1.333555555555555,1.633394149737315
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,42,-1.5795714285714288,1.6373443968964672
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,43,-1.5490000000000037,1.6378565142478212
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,44,-1.5182499999999983,1.7242755542041814
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,45,-1.3109999999999975,1.7712121688179814
hgb_raw,2025-03-23,Chinese Grand Prix,HARD,46,-1.1500000000000057,1.7712121688179816
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,2,-0.3110000000000028,2.1665437854769083
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,3,-1.051666666666667,1.8759256068503936
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,4,0.3863157894736844,2.3195956932093176
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,5,0.0008000000000015506,2.221884824489939
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,6,-0.9045384615384615,1.916318190612653
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,7,0.06262068965517201,2.172065824868657
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,8,0.008894736842106211,2.0932826981962016
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,9,-0.10012820512820587,2.0920702627836314
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,10,-0.2676666666666661,2.07279311683095
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,11,-0.3093055555555569,2.028114824967302
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,12,-0.1611818181818174,2.016785591403005
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,13,-0.019064516129031605,1.9807564769183073
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,14,0.0271724137931028,1.949301482352347
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,15,0.11535999999999831,1.9155537775772746
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,16,0.3847499999999974,1.9096469838551646
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,17,0.6648260869565217,1.8886526730329805
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,18,0.8940000000000011,1.9041117562558165
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,19,0.9687391304347822,1.9507890136471207
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,20,0.9383333333333332,1.907329566671547
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,21,0.9600000000000009,1.9397230515642252
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,22,0.9933157894736845,1.9508918419910437
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,23,0.7178461538461545,1.924378229218611
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,24,1.0102727272727285,1.8963552604615617
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,25,0.4188571428571452,1.8512750859791514
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,26,-0.02500000000000095,1.8137610734189797
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,27,-0.05349999999999955,1.80312384726873
