,PC1,PC2,PC3,PC4,PC5,PC6,PC7
traction,-0.25270389613881217,0.5836880943158763,-0.3909332057236427,-0.37070435696791604,0.37607432579526345,0.4037779819904165,0.027016671800766626
tyre_stress,0.45131814140976123,0.1077309178829571,0.11280741818957195,-0.02230067590278656,0.6709860844822605,-0.38142739412866644,-0.4192540617115074
asphalt_grip,0.3809769919436834,0.2815067629382584,-0.18235302529766892,-0.5097645969759094,-0.5931244931787027,-0.2427069091674147,-0.26794513561221794
corner_speed_energy,0.41939428814468516,-0.2778089349142886,0.3630086075525648,-0.29705077978835775,0.03456254450898577,0.717575053101792,-0.10396001878752646
abrasiveness,0.28850254681039933,0.5135271545994277,0.011291399812337791,0.6970184734600782,-0.20748329835100063,0.29518140960098255,-0.1921262872434599
braking_severity,-0.22244788118537429,0.46199157083395836,0.8113821667649521,-0.16766066766570986,-0.0448854116237386,-0.14473837705732281,0.1663301254685683
lateral_load,0.5279212625306064,0.11887828210062414,-0.10463901670822817,-0.006082569331398731,0.10144221382704588,-0.09784999391472736,0.8223841128635178
