tyre_age_band,mae,mse,rmse
1-5,2.490274428318494,18.43188456226767,4.293237072683929
6-10,2.2522049303315597,13.692734548928264,3.700369515187404
11-15,1.869853923343682,5.599462319225007,2.366318304714099
16-20,1.8238359495319703,4.9777001312110745,2.231076003010896
21+,1.766011482695348,4.74332297341894,2.177917118124319
