Compound,mae,mse,rmse
HARD,1.9349737911672769,5.874496417175508,2.4237360452771064
INTERMEDIATE,2.4431646485780236,9.132462409490303,3.0219964277759006
MEDIUM,2.0134509629550688,10.20364306601759,3.1943141777254143
SOFT,2.027525836018363,12.003726257826525,3.464639412381399
