PC1,PC2,EventName
-0.28264994099572166,1.0118866813206038,Abu Dhabi Grand Prix
-0.10169052456444239,-2.2483619089779254,Australian Grand Prix
0.8348591191597249,-1.0532091683093552,Austrian Grand Prix
-2.825553159427599,0.2406599471137678,Azerbaijan Grand Prix
-0.16626130422546553,2.428944444395589,Bahrain Grand Prix
1.8022753780562721,1.1369973831278275,Belgian Grand Prix
2.43950325531111,-0.5531776286993347,British Grand Prix
-3.3752526491554997,0.49856954232707956,Canadian Grand Prix
0.7380481605133187,0.6118368965721657,Chinese Grand Prix
1.228877884623149,0.29854693935387744,Dutch Grand Prix
-0.2966932153005544,-1.7483832079974941,Emilia Romagna Grand Prix
0.5789211128916609,0.45264973269394165,French Grand Prix
-0.5550245769064363,0.8215011269069399,Hungarian Grand Prix
-1.0930122009763452,-0.045866264031826524,Italian Grand Prix
3.155291579566931,0.4668346965253486,Japanese Grand Prix
-0.70477730334389,-2.163505035322885,Las Vegas Grand Prix
-2.3576071464748947,-0.6592891041223125,Mexico City Grand Prix
0.09003898528126673,-0.13224845286790954,Miami Grand Prix
-3.691840804083479,-0.6924146750584743,Monaco Grand Prix
2.4780233610226996,-0.20788562993016846,Qatar Grand Prix
1.864703329305335,-1.41437545017476,Saudi Arabian Grand Prix
-2.3180413576682963,1.9778603643799406,Singapore Grand Prix
2.0105825882497337,0.8982607066281248,Spanish Grand Prix
-0.180447852989956,-0.6507196112385266,São Paulo Grand Prix
0.727727282131377,0.7248876753857667,United States Grand Prix
