Compound,TyreLife,LapTimeDelta,prediction
HARD,1.0,0.8606250000000006,-0.09489198492581964
HARD,2.0,1.0189259259259267,1.9128561470417904
HARD,3.0,1.0691842105263156,2.422597783177533
HARD,4.0,1.8940487804878043,2.24428561656944
HARD,5.0,1.1102857142857139,2.8904935215089855
HARD,6.0,1.8873103448275876,2.4732950345240194
HARD,7.0,0.08467272727272798,2.4974613232242895
HARD,8.0,0.6168181818181825,2.512145476929254
HARD,9.0,0.7274827586206897,2.6958277102202035
HARD,10.0,0.5397796610169489,2.5714276207140485
HARD,11.0,0.8989672131147544,2.7220213208384796
HARD,12.0,1.1120185185185192,2.6772759048284596
HARD,13.0,1.174054545454546,2.6965133497752887
HARD,14.0,0.9791346153846147,2.707986066914254
HARD,15.0,0.8918571428571427,2.703306316895216
HARD,16.0,0.8495121951219515,2.6590980652494594
HARD,17.0,0.9402162162162161,2.6895760214927233
HARD,18.0,0.5501333333333345,2.509335484929756
HARD,19.0,0.9363333333333331,2.1612947466607983
HARD,20.0,0.6370000000000005,2.184027724408471
HARD,21.0,0.5157500000000018,2.1677161037289236
HARD,22.0,0.9253333333333352,2.169824742919836
HARD,23.0,1.3267142857142866,2.324157994420013
HARD,24.0,1.735999999999997,2.363318679603161
HARD,25.0,2.2364999999999995,2.4032653082057447
INTERMEDIATE,2.0,16.39875,10.83360486899832
INTERMEDIATE,5.0,11.766857142857143,14.196030404853385
INTERMEDIATE,6.0,10.545142857142858,14.293273603407938
INTERMEDIATE,7.0,10.915095238095239,13.288741011180987
INTERMEDIATE,8.0,13.06946875,11.570781967315813
INTERMEDIATE,9.0,14.09367857142857,11.893155770048429
INTERMEDIATE,10.0,14.16488,13.709098053822897
INTERMEDIATE,11.0,12.988352941176469,12.345084696406692
INTERMEDIATE,12.0,13.523,11.153940451084209
INTERMEDIATE,13.0,13.853999999999997,10.913436326957639
INTERMEDIATE,14.0,12.981615384615385,10.840492721517204
INTERMEDIATE,15.0,12.661499999999998,10.936940220383695
INTERMEDIATE,16.0,12.715999999999994,11.071607104466464
MEDIUM,1.0,0.06483333333333263,-0.004158250141621027
MEDIUM,2.0,1.1103543307086616,2.1136486413377855
MEDIUM,3.0,1.5261191709844557,2.704369919318517
MEDIUM,4.0,1.3802653061224488,2.263637030703913
MEDIUM,5.0,1.634647321428572,2.8315681344971098
MEDIUM,6.0,2.012172413793103,2.6019525036295
MEDIUM,7.0,0.9558742857142853,1.9733650472418787
MEDIUM,8.0,0.7941520467836258,2.8416170898586794
MEDIUM,9.0,1.4076197916666666,2.9059153120053733
MEDIUM,10.0,0.8656428571428572,2.546130430188972
MEDIUM,11.0,0.7479603174603173,2.311577369290246
MEDIUM,12.0,0.8799207920792085,2.4181701620760423
MEDIUM,13.0,0.8226244131455397,2.366166049947403
MEDIUM,14.0,0.9519255813953488,2.2799649646587343
MEDIUM,15.0,1.043607329842932,2.277749743353774
MEDIUM,16.0,0.9930552486187847,2.304670373286344
MEDIUM,17.0,0.8483974358974362,2.253941310394407
MEDIUM,18.0,0.9965289855072469,2.187823269871739
MEDIUM,19.0,0.8490599999999996,2.163134926881445
MEDIUM,20.0,0.9945476190476189,2.089311712762163
MEDIUM,21.0,1.0807031249999992,2.058826609178185
MEDIUM,22.0,0.9474473684210526,2.02395466074382
MEDIUM,23.0,0.9391851851851853,1.777601590474844
MEDIUM,24.0,0.9255555555555569,1.9453430561381317
MEDIUM,25.0,0.2973333333333367,1.9627973853033567
MEDIUM,26.0,0.570999999999998,1.966725594439513
MEDIUM,27.0,0.785499999999999,2.005717739499068
MEDIUM,28.0,0.8529999999999944,2.1863750785554084
MEDIUM,29.0,0.7319999999999993,2.232934978452315
SOFT,2.0,0.5110588235294121,0.7577424948901675
SOFT,3.0,1.5817173913043476,1.982241765628265
SOFT,4.0,-0.007069767441860347,1.4040571823939658
SOFT,5.0,0.36909090909090897,1.755567315163232
SOFT,6.0,2.6603108108108113,2.1010232882550013
SOFT,7.0,1.931536231884058,1.9575081837848207
SOFT,8.0,1.3423846153846146,2.604926297027582
SOFT,9.0,0.8804124999999996,2.8125475852305457
SOFT,10.0,1.776786666666667,2.622723610790963
SOFT,11.0,2.0093333333333327,2.876402554842063
SOFT,12.0,1.6171052631578955,2.9024646697710144
SOFT,13.0,1.2319814814814822,2.906152202096637
SOFT,14.0,0.9279777777777771,2.730796980408911
SOFT,15.0,1.6037179487179505,2.8989359866456894
SOFT,16.0,1.193242424242424,2.8625018389985604
SOFT,17.0,1.424642857142857,2.7530699419854066
SOFT,18.0,1.0632222222222216,2.7850332030894984
SOFT,19.0,1.5632999999999995,2.6995800357555284
SOFT,20.0,0.7744285714285724,2.678125384149925
SOFT,21.0,0.4654000000000025,2.869443135908253
SOFT,22.0,0.2939999999999969,1.5921308435636585
SOFT,23.0,0.5010000000000048,1.6561401475797939
