tyre_age_band,mae,mse,rmse
1-5,3.238103302023296,35.5233059872631,5.960143118018484
6-10,3.3474943657960425,35.29896411290748,5.941293134739901
11-15,1.92858371062232,6.89872050316462,2.626541547960858
16-20,1.741922764353789,4.777014898881493,2.1856383275559326
21+,1.2419001304541473,2.2364601775184427,1.495479915451372
