Compound,mae,mse,rmse
HARD,2.209337158753095,11.997444617241172,3.4637327577688746
INTERMEDIATE,2.744871238140784,11.451173110707183,3.3839582016784995
MEDIUM,2.48691258946213,21.40130333161265,4.626154270191673
SOFT,3.493998835497055,35.7799324394521,5.98163292416478
