candidate,baseline,event_count,mean_mae_difference_candidate_minus_baseline,median_mae_difference_candidate_minus_baseline,proportion_events_improved
hgb_track_pca4_age_interactions,hgb_raw,61,-0.2025390181540275,-0.026663720546058922,0.6065573770491803
hgb_track_pca4_age_interactions,hgb_track_pca4,61,0.0246055275361604,-0.0011137264175798967,0.5245901639344263
