variant,split,mae,mse,rmse,event_mae_median,event_mae_iqr,degradation_slope_error,events,feature_count
hgb_raw,development,2.372734117884995,15.659296772240275,3.119370689045543,1.5082254757112126,1.3310903633165916,0.11806268821677605,61,37
hgb_raw,final_2025,2.0032089901841044,8.778618879739614,2.9628734160843955,2.0032089901841044,0.0,0.0312442636603732,1,37
hgb_track_pca4,development,2.145589572194807,14.041871267626673,2.9296323952551555,1.412553856310441,1.087929551056589,0.11766809542980987,61,28
hgb_track_pca4,final_2025,1.9853803251601858,8.828653216458886,2.9713049686053576,1.9853803251601858,0.0,0.03141914086489627,1,28
hgb_track_pca4_age_interactions,development,2.170195099730967,14.391310839242843,2.948334155402242,1.3946637148196337,1.1931772307498347,0.11642238117603516,61,32
hgb_track_pca4_age_interactions,final_2025,2.0073212275988803,8.897620434375145,2.9828879352692996,2.0073212275988803,0.0,0.030281228521722357,1,32
